District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Adilabad Rural,01-Apr-22,0.0,15.7,56.2
Adilabad,Adilabad Rural,02-Apr-22,0.0,15.7,80.8
Adilabad,Adilabad Rural,03-Apr-22,0.0,19.8,78.5
Adilabad,Adilabad Rural,04-Apr-22,0.0,24.8,72.0
Adilabad,Adilabad Rural,05-Apr-22,0.0,32.1,68.6
Adilabad,Adilabad Rural,06-Apr-22,0.0,35.3,69.5
Adilabad,Adilabad Rural,07-Apr-22,0.0,27.5,51.5
Adilabad,Adilabad Rural,08-Apr-22,0.0,19.6,51.9
Adilabad,Adilabad Rural,09-Apr-22,0.0,24.1,56.6
Adilabad,Adilabad Rural,10-Apr-22,0.0,28.2,61.8
Adilabad,Adilabad Rural,11-Apr-22,0.0,26.5,62.2
Adilabad,Adilabad Rural,12-Apr-22,0.0,28.0,56.6
Adilabad,Adilabad Rural,13-Apr-22,0.0,28.9,63.7
Adilabad,Adilabad Rural,14-Apr-22,0.0,29.6,63.7
Adilabad,Adilabad Rural,15-Apr-22,0.0,24.1,56.1
Adilabad,Adilabad Rural,16-Apr-22,0.0,19.6,58.1
Adilabad,Adilabad Rural,17-Apr-22,0.0,18.4,58.1
Adilabad,Adilabad Rural,18-Apr-22,0.0,16.4,61.2
Adilabad,Adilabad Rural,19-Apr-22,0.0,18.4,57.6
Adilabad,Adilabad Rural,20-Apr-22,0.0,18.4,53.2
Adilabad,Adilabad Rural,21-Apr-22,0.0,17.8,51.2
Adilabad,Adilabad Rural,22-Apr-22,0.0,19.1,52.9
Adilabad,Adilabad Rural,23-Apr-22,0.0,37.6,61.7
Adilabad,Adilabad Rural,24-Apr-22,2.0,30.1,75.9
Adilabad,Adilabad Rural,25-Apr-22,0.0,28.7,57.7
Adilabad,Adilabad Rural,26-Apr-22,0.0,17.8,52.1
Adilabad,Adilabad Rural,27-Apr-22,0.0,16.5,40.5
Adilabad,Adilabad Rural,28-Apr-22,0.0,17.0,44.7
Adilabad,Adilabad Rural,29-Apr-22,0.0,17.9,48.7
Adilabad,Adilabad Rural,30-Apr-22,0.0,15.7,40.9
Adilabad,Adilabad Urban,01-Apr-22,0.0,11.7,68.8
Adilabad,Adilabad Urban,02-Apr-22,0.0,11.7,84.4
Adilabad,Adilabad Urban,03-Apr-22,0.0,15.7,80.3
Adilabad,Adilabad Urban,04-Apr-22,0.0,21.8,76.7
Adilabad,Adilabad Urban,05-Apr-22,0.0,22.4,75.5
Adilabad,Adilabad Urban,06-Apr-22,0.0,24.2,75.6
Adilabad,Adilabad Urban,07-Apr-22,0.0,24.2,53.3
Adilabad,Adilabad Urban,08-Apr-22,0.0,13.5,59.0
Adilabad,Adilabad Urban,09-Apr-22,0.0,28.6,68.6
Adilabad,Adilabad Urban,10-Apr-22,0.0,30.2,67.7
Adilabad,Adilabad Urban,11-Apr-22,0.0,27.1,63.3
Adilabad,Adilabad Urban,12-Apr-22,0.0,26.9,60.7
Adilabad,Adilabad Urban,13-Apr-22,0.0,26.2,60.3
