District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Adilabad Rural,01-Dec-22,0.0,46.6,98.0
Adilabad,Adilabad Rural,02-Dec-22,0.0,49.9,98.2
Adilabad,Adilabad Rural,03-Dec-22,0.0,54.1,97.7
Adilabad,Adilabad Rural,04-Dec-22,0.0,55.6,97.2
Adilabad,Adilabad Rural,05-Dec-22,0.0,51.0,97.2
Adilabad,Adilabad Rural,06-Dec-22,0.0,43.6,94.9
Adilabad,Adilabad Rural,07-Dec-22,0.0,47.6,97.5
Adilabad,Adilabad Rural,08-Dec-22,0.0,54.6,84.2
Adilabad,Adilabad Rural,09-Dec-22,0.0,40.9,96.9
Adilabad,Adilabad Rural,10-Dec-22,0.0,37.5,84.4
Adilabad,Adilabad Rural,11-Dec-22,0.0,52.2,93.3
Adilabad,Adilabad Rural,12-Dec-22,2.8,56.6,99.5
Adilabad,Adilabad Rural,13-Dec-22,0.0,53.0,97.9
Adilabad,Adilabad Rural,14-Dec-22,0.0,58.1,99.0
Adilabad,Adilabad Rural,15-Dec-22,0.0,60.2,97.2
Adilabad,Adilabad Rural,16-Dec-22,0.0,53.0,97.2
Adilabad,Adilabad Rural,17-Dec-22,0.0,52.0,97.4
Adilabad,Adilabad Rural,18-Dec-22,0.0,54.1,97.2
Adilabad,Adilabad Rural,19-Dec-22,0.0,35.0,91.9
Adilabad,Adilabad Rural,20-Dec-22,0.0,34.4,91.6
Adilabad,Adilabad Rural,21-Dec-22,0.0,28.3,89.0
Adilabad,Adilabad Rural,22-Dec-22,0.0,33.8,92.6
Adilabad,Adilabad Rural,23-Dec-22,0.0,39.5,92.3
Adilabad,Adilabad Rural,24-Dec-22,0.0,35.3,85.1
Adilabad,Adilabad Rural,25-Dec-22,0.0,32.3,78.0
Adilabad,Adilabad Rural,26-Dec-22,0.0,37.0,78.4
Adilabad,Adilabad Rural,27-Dec-22,0.0,48.5,87.0
Adilabad,Adilabad Rural,28-Dec-22,0.0,50.1,89.9
Adilabad,Adilabad Rural,29-Dec-22,0.0,47.4,94.6
Adilabad,Adilabad Rural,30-Dec-22,0.0,42.2,97.5
Adilabad,Adilabad Rural,31-Dec-22,0.0,36.4,87.6
Adilabad,Adilabad Urban,01-Dec-22,0.0,36.6,99.9
Adilabad,Adilabad Urban,02-Dec-22,0.0,47.1,99.9
Adilabad,Adilabad Urban,03-Dec-22,0.0,50.4,99.9
Adilabad,Adilabad Urban,04-Dec-22,0.0,55.7,99.9
Adilabad,Adilabad Urban,05-Dec-22,0.0,49.0,99.9
Adilabad,Adilabad Urban,06-Dec-22,0.0,47.1,99.9
Adilabad,Adilabad Urban,07-Dec-22,0.0,47.1,99.9
Adilabad,Adilabad Urban,08-Dec-22,0.0,55.3,99.9
Adilabad,Adilabad Urban,09-Dec-22,0.0,31.9,99.9
Adilabad,Adilabad Urban,10-Dec-22,0.0,33.3,95.5
Adilabad,Adilabad Urban,11-Dec-22,0.0,43.5,96.7
Adilabad,Adilabad Urban,12-Dec-22,6.0,55.7,99.9
Adilabad,Adilabad Urban,13-Dec-22,0.0,57.9,99.9
Adilabad,Adilabad Urban,14-Dec-22,0.4,63.8,99.9
Adilabad,Adilabad Urban,15-Dec-22,0.0,56.6,99.9
Adilabad,Adilabad Urban,16-Dec-22,0.0,53.0,99.9
Adilabad,Adilabad Urban,17-Dec-22,0.0,51.2,99.9
Adilabad,Adilabad Urban,18-Dec-22,0.0,53.9,99.9
Adilabad,Adilabad Urban,19-Dec-22,0.0,33.5,99.9
Adilabad,Adilabad Urban,20-Dec-22,0.0,33.0,99.9
Adilabad,Adilabad Urban,21-Dec-22,0.0,29.3,99.9
Adilabad,Adilabad Urban,22-Dec-22,0.0,28.1,99.9
Adilabad,Adilabad Urban,23-Dec-22,0.0,34.5,99.9
Adilabad,Adilabad Urban,24-Dec-22,0.0,26.5,99.9
Adilabad,Adilabad Urban,25-Dec-22,0.0,29.7,99.9
Adilabad,Adilabad Urban,26-Dec-22,0.0,39.3,99.9
Adilabad,Adilabad Urban,27-Dec-22,0.0,43.4,99.9
Adilabad,Adilabad Urban,28-Dec-22,0.0,49.7,99.9
Adilabad,Adilabad Urban,29-Dec-22,0.0,44.9,99.9
Adilabad,Adilabad Urban,30-Dec-22,0.0,41.3,99.9
Adilabad,Adilabad Urban,31-Dec-22,0.0,33.1,99.9
Adilabad,Bazarhathnoor,01-Dec-22,0.0,42.6,90.5
Adilabad,Bazarhathnoor,02-Dec-22,0.0,41.4,94.3
Adilabad,Bazarhathnoor,03-Dec-22,0.0,56.9,97.0
Adilabad,Bazarhathnoor,04-Dec-22,0.0,59.9,97.5
Adilabad,Bazarhathnoor,05-Dec-22,0.0,58.4,98.8
Adilabad,Bazarhathnoor,06-Dec-22,0.0,44.2,96.3
Adilabad,Bazarhathnoor,07-Dec-22,0.0,51.5,94.3
Adilabad,Bazarhathnoor,08-Dec-22,0.0,61.3,92.3
Adilabad,Bazarhathnoor,09-Dec-22,0.0,43.9,91.8
Adilabad,Bazarhathnoor,10-Dec-22,0.0,41.6,82.1
Adilabad,Bazarhathnoor,11-Dec-22,0.0,56.4,79.2
Adilabad,Bazarhathnoor,12-Dec-22,1.6,63.4,99.6
Adilabad,Bazarhathnoor,13-Dec-22,0.0,64.8,98.8
Adilabad,Bazarhathnoor,14-Dec-22,0.0,66.3,98.8
Adilabad,Bazarhathnoor,15-Dec-22,0.0,57.9,94.7
Adilabad,Bazarhathnoor,16-Dec-22,0.0,59.4,98.3
Adilabad,Bazarhathnoor,17-Dec-22,0.0,60.4,96.3
Adilabad,Bazarhathnoor,18-Dec-22,0.0,60.9,94.0
Adilabad,Bazarhathnoor,19-Dec-22,0.0,40.9,95.0
Adilabad,Bazarhathnoor,20-Dec-22,0.0,36.3,95.5
Adilabad,Bazarhathnoor,21-Dec-22,0.0,32.5,96.0
Adilabad,Bazarhathnoor,22-Dec-22,0.0,27.7,93.0
Adilabad,Bazarhathnoor,23-Dec-22,0.0,38.9,96.0
Adilabad,Bazarhathnoor,24-Dec-22,0.0,35.6,96.0
Adilabad,Bazarhathnoor,25-Dec-22,0.0,37.2,97.8
Adilabad,Bazarhathnoor,26-Dec-22,0.0,47.4,98.6
Adilabad,Bazarhathnoor,27-Dec-22,0.0,55.9,99.8
Adilabad,Bazarhathnoor,28-Dec-22,0.0,63.9,99.3
Adilabad,Bazarhathnoor,29-Dec-22,0.0,50.8,92.2
Adilabad,Bazarhathnoor,30-Dec-22,0.0,52.9,99.0
Adilabad,Bazarhathnoor,31-Dec-22,0.0,46.3,95.3
Adilabad,Bela,01-Dec-22,0.0,32.8,100.0
Adilabad,Bela,02-Dec-22,0.0,35.4,100.0
Adilabad,Bela,03-Dec-22,0.0,41.6,100.0
Adilabad,Bela,04-Dec-22,0.0,45.9,100.0
Adilabad,Bela,05-Dec-22,0.0,38.7,100.0
Adilabad,Bela,06-Dec-22,0.0,30.4,99.1
Adilabad,Bela,07-Dec-22,0.0,35.4,100.0
Adilabad,Bela,08-Dec-22,0.0,48.2,93.6
Adilabad,Bela,09-Dec-22,0.0,30.4,96.2
Adilabad,Bela,10-Dec-22,0.0,28.2,86.8
Adilabad,Bela,11-Dec-22,0.0,42.2,95.7
Adilabad,Bela,12-Dec-22,6.4,50.6,99.9
Adilabad,Bela,13-Dec-22,0.0,49.4,100.0
Adilabad,Bela,14-Dec-22,0.0,63.1,100.0
Adilabad,Bela,15-Dec-22,0.0,55.1,99.9
Adilabad,Bela,16-Dec-22,0.0,47.1,100.0
Adilabad,Bela,17-Dec-22,0.0,46.1,99.9
Adilabad,Bela,18-Dec-22,0.0,49.1,100.0
Adilabad,Bela,19-Dec-22,0.0,28.5,97.0
Adilabad,Bela,20-Dec-22,0.0,26.1,97.4
Adilabad,Bela,21-Dec-22,0.0,25.1,97.0
Adilabad,Bela,22-Dec-22,0.0,24.6,97.2
Adilabad,Bela,23-Dec-22,0.0,24.0,100.0
Adilabad,Bela,24-Dec-22,0.0,19.7,96.0
Adilabad,Bela,25-Dec-22,0.0,25.3,94.1
Adilabad,Bela,26-Dec-22,0.0,24.2,91.7
Adilabad,Bela,27-Dec-22,0.0,33.3,97.6
Adilabad,Bela,28-Dec-22,0.0,40.1,100.0
Adilabad,Bela,29-Dec-22,0.0,38.0,95.3
Adilabad,Bela,30-Dec-22,0.0,31.8,100.0
Adilabad,Bela,31-Dec-22,0.0,24.2,96.9
Adilabad,Bheempoor,01-Dec-22,0.0,41.1,99.9
Adilabad,Bheempoor,02-Dec-22,0.0,46.8,99.9
Adilabad,Bheempoor,03-Dec-22,0.0,54.7,99.9
Adilabad,Bheempoor,04-Dec-22,0.0,55.9,99.9
Adilabad,Bheempoor,05-Dec-22,0.0,56.0,100.0
Adilabad,Bheempoor,06-Dec-22,0.0,48.8,99.9
Adilabad,Bheempoor,07-Dec-22,0.0,51.8,99.9
Adilabad,Bheempoor,08-Dec-22,0.0,58.3,99.9
Adilabad,Bheempoor,09-Dec-22,0.0,38.0,99.7
Adilabad,Bheempoor,10-Dec-22,0.0,41.5,95.7
Adilabad,Bheempoor,11-Dec-22,0.0,48.6,100.0
Adilabad,Bheempoor,12-Dec-22,12.8,62.8,99.9
Adilabad,Bheempoor,13-Dec-22,0.0,63.1,100.0
Adilabad,Bheempoor,14-Dec-22,0.5,72.6,99.9
Adilabad,Bheempoor,15-Dec-22,0.0,58.9,99.9
Adilabad,Bheempoor,16-Dec-22,0.0,55.3,100.0
Adilabad,Bheempoor,17-Dec-22,0.0,55.5,99.9
Adilabad,Bheempoor,18-Dec-22,0.0,55.0,99.9
Adilabad,Bheempoor,19-Dec-22,0.0,39.4,99.8
Adilabad,Bheempoor,20-Dec-22,0.0,39.4,99.7
Adilabad,Bheempoor,21-Dec-22,0.0,39.1,99.8
Adilabad,Bheempoor,22-Dec-22,0.0,34.9,99.9
Adilabad,Bheempoor,23-Dec-22,0.0,42.8,99.9
Adilabad,Bheempoor,24-Dec-22,0.0,33.7,99.9
Adilabad,Bheempoor,25-Dec-22,0.0,41.2,99.9
Adilabad,Bheempoor,26-Dec-22,0.0,47.4,99.9
Adilabad,Bheempoor,27-Dec-22,0.0,50.1,99.9
Adilabad,Bheempoor,28-Dec-22,0.0,57.5,99.9
Adilabad,Bheempoor,29-Dec-22,0.0,47.7,100.0
Adilabad,Bheempoor,30-Dec-22,0.0,42.7,99.9
Adilabad,Bheempoor,31-Dec-22,0.0,41.3,97.6
Adilabad,Boath,01-Dec-22,0.0,39.6,94.8
Adilabad,Boath,02-Dec-22,0.0,38.6,94.3
Adilabad,Boath,03-Dec-22,0.0,47.5,95.5
Adilabad,Boath,04-Dec-22,0.0,55.0,95.7
Adilabad,Boath,05-Dec-22,0.0,49.2,95.5
Adilabad,Boath,06-Dec-22,0.0,38.2,94.2
Adilabad,Boath,07-Dec-22,0.0,46.5,94.2
Adilabad,Boath,08-Dec-22,0.0,54.3,90.5
Adilabad,Boath,09-Dec-22,0.0,37.9,89.7
Adilabad,Boath,10-Dec-22,0.0,36.7,80.7
Adilabad,Boath,11-Dec-22,0.0,49.1,82.8
Adilabad,Boath,12-Dec-22,6.1,60.3,97.7
Adilabad,Boath,13-Dec-22,0.0,55.0,97.3
Adilabad,Boath,14-Dec-22,0.0,62.8,97.1
Adilabad,Boath,15-Dec-22,0.0,48.0,96.2
Adilabad,Boath,16-Dec-22,0.0,48.8,97.0
Adilabad,Boath,17-Dec-22,0.0,53.7,95.6
Adilabad,Boath,18-Dec-22,0.0,49.6,95.5
Adilabad,Boath,19-Dec-22,0.0,33.0,93.4
Adilabad,Boath,20-Dec-22,0.0,32.2,93.4
Adilabad,Boath,21-Dec-22,0.0,30.2,88.9
Adilabad,Boath,22-Dec-22,0.0,29.8,88.2
Adilabad,Boath,23-Dec-22,0.0,32.5,93.6
Adilabad,Boath,24-Dec-22,0.0,30.5,93.6
Adilabad,Boath,25-Dec-22,0.0,33.0,94.9
Adilabad,Boath,26-Dec-22,0.0,39.4,94.8
