District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Adilabad Rural,01-Feb-22,0.0,6.8,100.0
Adilabad,Adilabad Rural,02-Feb-22,0.0,8.1,100.0
Adilabad,Adilabad Rural,03-Feb-22,0.0,12.2,100.0
Adilabad,Adilabad Rural,04-Feb-22,0.0,19.8,100.0
Adilabad,Adilabad Rural,05-Feb-22,0.0,8.4,100.0
Adilabad,Adilabad Rural,06-Feb-22,0.0,9.7,100.0
Adilabad,Adilabad Rural,07-Feb-22,0.0,7.8,100.0
Adilabad,Adilabad Rural,08-Feb-22,0.0,18.8,100.0
Adilabad,Adilabad Rural,09-Feb-22,0.0,23.7,100.0
Adilabad,Adilabad Rural,10-Feb-22,0.0,24.5,100.0
Adilabad,Adilabad Rural,11-Feb-22,0.0,21.9,100.0
Adilabad,Adilabad Rural,12-Feb-22,0.0,21.6,100.0
Adilabad,Adilabad Rural,13-Feb-22,0.0,13.6,100.0
Adilabad,Adilabad Rural,14-Feb-22,0.0,9.2,100.0
Adilabad,Adilabad Rural,15-Feb-22,0.0,12.5,100.0
Adilabad,Adilabad Rural,16-Feb-22,0.0,18.1,100.0
Adilabad,Adilabad Rural,17-Feb-22,1.8,18.2,100.0
Adilabad,Adilabad Rural,18-Feb-22,0.0,15.2,100.0
Adilabad,Adilabad Rural,19-Feb-22,0.0,20.9,100.0
Adilabad,Adilabad Rural,20-Feb-22,0.0,9.1,100.0
Adilabad,Adilabad Rural,21-Feb-22,0.0,15.5,100.0
Adilabad,Adilabad Rural,22-Feb-22,0.0,7.2,100.0
Adilabad,Adilabad Rural,23-Feb-22,0.0,6.9,100.0
Adilabad,Adilabad Rural,24-Feb-22,0.0,13.2,100.0
Adilabad,Adilabad Rural,25-Feb-22,0.0,7.0,100.0
Adilabad,Adilabad Rural,26-Feb-22,0.0,5.2,100.0
Adilabad,Adilabad Rural,27-Feb-22,0.0,7.2,100.0
Adilabad,Adilabad Rural,28-Feb-22,0.0,10.4,100.0
Adilabad,Adilabad Urban,01-Feb-22,0.0,6.8,100.0
Adilabad,Adilabad Urban,02-Feb-22,0.0,8.1,100.0
Adilabad,Adilabad Urban,03-Feb-22,0.0,12.2,100.0
Adilabad,Adilabad Urban,04-Feb-22,0.0,19.8,100.0
Adilabad,Adilabad Urban,05-Feb-22,0.0,8.4,100.0
Adilabad,Adilabad Urban,06-Feb-22,0.0,9.7,100.0
Adilabad,Adilabad Urban,07-Feb-22,0.0,7.8,100.0
Adilabad,Adilabad Urban,08-Feb-22,0.0,18.8,100.0
Adilabad,Adilabad Urban,09-Feb-22,0.0,23.7,100.0
Adilabad,Adilabad Urban,10-Feb-22,0.0,24.5,100.0
Adilabad,Adilabad Urban,11-Feb-22,0.0,21.9,100.0
Adilabad,Adilabad Urban,12-Feb-22,0.0,21.6,100.0
Adilabad,Adilabad Urban,13-Feb-22,0.0,13.6,100.0
Adilabad,Adilabad Urban,14-Feb-22,0.0,9.2,100.0
Adilabad,Adilabad Urban,15-Feb-22,0.0,12.5,100.0
Adilabad,Adilabad Urban,16-Feb-22,0.0,18.1,100.0
Adilabad,Adilabad Urban,17-Feb-22,0.4,18.2,100.0
Adilabad,Adilabad Urban,18-Feb-22,0.0,15.2,100.0
Adilabad,Adilabad Urban,19-Feb-22,0.0,20.9,100.0
Adilabad,Adilabad Urban,20-Feb-22,0.0,9.1,100.0
Adilabad,Adilabad Urban,21-Feb-22,0.0,15.5,100.0
Adilabad,Adilabad Urban,22-Feb-22,0.0,7.2,100.0
Adilabad,Adilabad Urban,23-Feb-22,0.0,6.9,100.0
Adilabad,Adilabad Urban,24-Feb-22,0.0,13.2,100.0
Adilabad,Adilabad Urban,25-Feb-22,0.0,7.0,100.0
Adilabad,Adilabad Urban,26-Feb-22,0.0,5.2,100.0
Adilabad,Adilabad Urban,27-Feb-22,0.0,7.2,100.0
Adilabad,Adilabad Urban,28-Feb-22,0.0,10.4,100.0
Adilabad,Bazarhathnoor,01-Feb-22,0.0,6.8,100.0
Adilabad,Bazarhathnoor,02-Feb-22,0.0,8.1,100.0
Adilabad,Bazarhathnoor,03-Feb-22,0.0,12.2,100.0
Adilabad,Bazarhathnoor,04-Feb-22,0.0,19.8,100.0
Adilabad,Bazarhathnoor,05-Feb-22,0.0,8.4,100.0
Adilabad,Bazarhathnoor,06-Feb-22,0.0,9.7,100.0
Adilabad,Bazarhathnoor,07-Feb-22,0.0,7.8,100.0
Adilabad,Bazarhathnoor,08-Feb-22,0.0,18.8,100.0
Adilabad,Bazarhathnoor,09-Feb-22,0.0,23.7,100.0
Adilabad,Bazarhathnoor,10-Feb-22,0.0,24.5,100.0
Adilabad,Bazarhathnoor,11-Feb-22,0.0,21.9,100.0
Adilabad,Bazarhathnoor,12-Feb-22,0.0,21.6,100.0
Adilabad,Bazarhathnoor,13-Feb-22,0.0,13.6,100.0
Adilabad,Bazarhathnoor,14-Feb-22,0.0,9.2,100.0
Adilabad,Bazarhathnoor,15-Feb-22,0.0,12.5,100.0
Adilabad,Bazarhathnoor,16-Feb-22,0.0,18.1,100.0
Adilabad,Bazarhathnoor,17-Feb-22,1.2,18.2,100.0
Adilabad,Bazarhathnoor,18-Feb-22,0.0,15.2,100.0
Adilabad,Bazarhathnoor,19-Feb-22,0.0,20.9,100.0
Adilabad,Bazarhathnoor,20-Feb-22,0.0,9.1,100.0
Adilabad,Bazarhathnoor,21-Feb-22,0.0,15.5,100.0
Adilabad,Bazarhathnoor,22-Feb-22,0.0,7.2,100.0
Adilabad,Bazarhathnoor,23-Feb-22,0.0,6.9,100.0
Adilabad,Bazarhathnoor,24-Feb-22,0.0,13.2,100.0
Adilabad,Bazarhathnoor,25-Feb-22,0.0,7.0,100.0
Adilabad,Bazarhathnoor,26-Feb-22,0.0,5.2,100.0
Adilabad,Bazarhathnoor,27-Feb-22,0.0,7.2,100.0
Adilabad,Bazarhathnoor,28-Feb-22,0.0,10.4,100.0
Adilabad,Bela,01-Feb-22,0.0,6.8,100.0
Adilabad,Bela,02-Feb-22,0.0,8.1,100.0
Adilabad,Bela,03-Feb-22,0.0,12.2,100.0
Adilabad,Bela,04-Feb-22,0.0,19.8,100.0
Adilabad,Bela,05-Feb-22,0.0,8.4,100.0
Adilabad,Bela,06-Feb-22,0.0,9.7,100.0
Adilabad,Bela,07-Feb-22,0.0,7.8,100.0
Adilabad,Bela,08-Feb-22,0.0,18.8,100.0
Adilabad,Bela,09-Feb-22,0.0,23.7,100.0
Adilabad,Bela,10-Feb-22,0.0,24.5,100.0
Adilabad,Bela,11-Feb-22,0.0,21.9,100.0
Adilabad,Bela,12-Feb-22,0.0,21.6,100.0
Adilabad,Bela,13-Feb-22,0.0,13.6,100.0
Adilabad,Bela,14-Feb-22,0.0,9.2,100.0
Adilabad,Bela,15-Feb-22,0.0,12.5,100.0
Adilabad,Bela,16-Feb-22,0.0,18.1,100.0
Adilabad,Bela,17-Feb-22,0.0,18.2,100.0
Adilabad,Bela,18-Feb-22,0.0,15.2,100.0
Adilabad,Bela,19-Feb-22,0.0,20.9,100.0
Adilabad,Bela,20-Feb-22,0.0,9.1,100.0
Adilabad,Bela,21-Feb-22,0.0,15.5,100.0
Adilabad,Bela,22-Feb-22,0.0,7.2,100.0
Adilabad,Bela,23-Feb-22,0.0,6.9,100.0
Adilabad,Bela,24-Feb-22,0.0,13.2,100.0
Adilabad,Bela,25-Feb-22,0.0,7.0,100.0
Adilabad,Bela,26-Feb-22,0.0,5.2,100.0
Adilabad,Bela,27-Feb-22,0.0,7.2,100.0
Adilabad,Bela,28-Feb-22,0.0,10.4,100.0
Adilabad,Bheempoor,01-Feb-22,0.0,6.8,100.0
Adilabad,Bheempoor,02-Feb-22,0.0,8.1,100.0
Adilabad,Bheempoor,03-Feb-22,0.0,12.2,100.0
Adilabad,Bheempoor,04-Feb-22,0.0,19.8,100.0
Adilabad,Bheempoor,05-Feb-22,0.0,8.4,100.0
Adilabad,Bheempoor,06-Feb-22,0.0,9.7,100.0
Adilabad,Bheempoor,07-Feb-22,0.0,7.8,100.0
Adilabad,Bheempoor,08-Feb-22,0.0,18.8,100.0
Adilabad,Bheempoor,09-Feb-22,0.0,23.7,100.0
Adilabad,Bheempoor,10-Feb-22,0.0,24.5,100.0
Adilabad,Bheempoor,11-Feb-22,0.0,21.9,100.0
Adilabad,Bheempoor,12-Feb-22,0.0,21.6,100.0
Adilabad,Bheempoor,13-Feb-22,0.0,13.6,100.0
Adilabad,Bheempoor,14-Feb-22,0.0,9.2,100.0
Adilabad,Bheempoor,15-Feb-22,0.0,12.5,100.0
Adilabad,Bheempoor,16-Feb-22,0.0,18.1,100.0
Adilabad,Bheempoor,17-Feb-22,1.3,18.2,100.0
Adilabad,Bheempoor,18-Feb-22,0.0,15.2,100.0
Adilabad,Bheempoor,19-Feb-22,0.0,20.9,100.0
Adilabad,Bheempoor,20-Feb-22,0.0,9.1,100.0
Adilabad,Bheempoor,21-Feb-22,0.0,15.5,100.0
Adilabad,Bheempoor,22-Feb-22,0.0,7.2,100.0
Adilabad,Bheempoor,23-Feb-22,0.0,6.9,100.0
Adilabad,Bheempoor,24-Feb-22,0.0,13.2,100.0
Adilabad,Bheempoor,25-Feb-22,0.0,7.0,100.0
Adilabad,Bheempoor,26-Feb-22,0.0,5.2,100.0
Adilabad,Bheempoor,27-Feb-22,0.0,7.2,100.0
Adilabad,Bheempoor,28-Feb-22,0.0,10.4,100.0
Adilabad,Boath,01-Feb-22,0.0,6.8,100.0
Adilabad,Boath,02-Feb-22,0.0,8.1,100.0
Adilabad,Boath,03-Feb-22,0.0,12.2,100.0
Adilabad,Boath,04-Feb-22,0.0,19.8,100.0
Adilabad,Boath,05-Feb-22,0.0,8.4,100.0
Adilabad,Boath,06-Feb-22,0.0,9.7,100.0
Adilabad,Boath,07-Feb-22,0.0,7.8,100.0
Adilabad,Boath,08-Feb-22,0.0,18.8,100.0
Adilabad,Boath,09-Feb-22,0.0,23.7,100.0
Adilabad,Boath,10-Feb-22,0.0,24.5,100.0
Adilabad,Boath,11-Feb-22,0.0,21.9,100.0
Adilabad,Boath,12-Feb-22,0.0,21.6,100.0
Adilabad,Boath,13-Feb-22,0.0,13.6,100.0
Adilabad,Boath,14-Feb-22,0.0,9.2,100.0
Adilabad,Boath,15-Feb-22,0.0,12.5,100.0
Adilabad,Boath,16-Feb-22,0.0,18.1,100.0
Adilabad,Boath,17-Feb-22,0.0,18.2,100.0
Adilabad,Boath,18-Feb-22,0.0,15.2,100.0
Adilabad,Boath,19-Feb-22,0.0,20.9,100.0
Adilabad,Boath,20-Feb-22,0.0,9.1,100.0
Adilabad,Boath,21-Feb-22,0.0,15.5,100.0
Adilabad,Boath,22-Feb-22,0.0,7.2,100.0
Adilabad,Boath,23-Feb-22,0.0,6.9,100.0
Adilabad,Boath,24-Feb-22,0.0,13.2,100.0
Adilabad,Boath,25-Feb-22,0.0,7.0,100.0
Adilabad,Boath,26-Feb-22,0.0,5.2,100.0
Adilabad,Boath,27-Feb-22,0.0,7.2,100.0
Adilabad,Boath,28-Feb-22,0.0,10.4,100.0
Adilabad,Gadiguda,01-Feb-22,0.0,6.8,100.0
Adilabad,Gadiguda,02-Feb-22,0.0,8.1,100.0
Adilabad,Gadiguda,03-Feb-22,0.0,12.2,100.0
Adilabad,Gadiguda,04-Feb-22,0.0,19.8,100.0
Adilabad,Gadiguda,05-Feb-22,0.0,8.4,100.0
Adilabad,Gadiguda,06-Feb-22,0.0,9.7,100.0
Adilabad,Gadiguda,07-Feb-22,0.0,7.8,100.0
Adilabad,Gadiguda,08-Feb-22,0.0,18.8,100.0
Adilabad,Gadiguda,09-Feb-22,0.0,23.7,100.0
Adilabad,Gadiguda,10-Feb-22,0.0,24.5,100.0
Adilabad,Gadiguda,11-Feb-22,0.0,21.9,100.0
Adilabad,Gadiguda,12-Feb-22,0.0,21.6,100.0
Adilabad,Gadiguda,13-Feb-22,0.0,13.6,100.0
Adilabad,Gadiguda,14-Feb-22,0.0,9.2,100.0
Adilabad,Gadiguda,15-Feb-22,0.0,12.5,100.0
Adilabad,Gadiguda,16-Feb-22,0.0,18.1,100.0
Adilabad,Gadiguda,17-Feb-22,0.0,18.2,100.0
Adilabad,Gadiguda,18-Feb-22,0.0,15.2,100.0
Adilabad,Gadiguda,19-Feb-22,0.0,20.9,100.0
Adilabad,Gadiguda,20-Feb-22,0.0,9.1,100.0
Adilabad,Gadiguda,21-Feb-22,0.0,15.5,100.0
Adilabad,Gadiguda,22-Feb-22,0.0,7.2,100.0
Adilabad,Gadiguda,23-Feb-22,0.0,6.9,100.0
Adilabad,Gadiguda,24-Feb-22,0.0,13.2,100.0
Adilabad,Gadiguda,25-Feb-22,0.0,7.0,100.0
Adilabad,Gadiguda,26-Feb-22,0.0,5.2,100.0
Adilabad,Gadiguda,27-Feb-22,0.0,7.2,100.0
Adilabad,Gadiguda,28-Feb-22,0.0,10.4,100.0
Adilabad,Gudihathnur,01-Feb-22,0.0,6.8,100.0
Adilabad,Gudihathnur,02-Feb-22,0.0,8.1,100.0
Adilabad,Gudihathnur,03-Feb-22,0.0,12.2,100.0
Adilabad,Gudihathnur,04-Feb-22,0.0,19.8,100.0
Adilabad,Gudihathnur,05-Feb-22,0.0,8.4,100.0
Adilabad,Gudihathnur,06-Feb-22,0.0,9.7,100.0
Adilabad,Gudihathnur,07-Feb-22,0.0,7.8,100.0
Adilabad,Gudihathnur,08-Feb-22,0.0,18.8,100.0
Adilabad,Gudihathnur,09-Feb-22,0.0,23.7,100.0
Adilabad,Gudihathnur,10-Feb-22,0.0,24.5,100.0
Adilabad,Gudihathnur,11-Feb-22,0.0,21.9,100.0
Adilabad,Gudihathnur,12-Feb-22,0.0,21.6,100.0
Adilabad,Gudihathnur,13-Feb-22,0.0,13.6,100.0
Adilabad,Gudihathnur,14-Feb-22,0.0,9.2,100.0
Adilabad,Gudihathnur,15-Feb-22,0.0,12.5,100.0
Adilabad,Gudihathnur,16-Feb-22,0.0,18.1,100.0
Adilabad,Gudihathnur,17-Feb-22,0.0,18.2,100.0
Adilabad,Gudihathnur,18-Feb-22,0.0,15.2,100.0
Adilabad,Gudihathnur,19-Feb-22,0.0,20.9,100.0
Adilabad,Gudihathnur,20-Feb-22,0.0,9.1,100.0
Adilabad,Gudihathnur,21-Feb-22,0.0,15.5,100.0
Adilabad,Gudihathnur,22-Feb-22,0.0,7.2,100.0
Adilabad,Gudihathnur,23-Feb-22,0.0,6.9,100.0
Adilabad,Gudihathnur,24-Feb-22,0.0,13.2,100.0
Adilabad,Gudihathnur,25-Feb-22,0.0,7.0,100.0
Adilabad,Gudihathnur,26-Feb-22,0.0,5.2,100.0
Adilabad,Gudihathnur,27-Feb-22,0.0,7.2,100.0
Adilabad,Gudihathnur,28-Feb-22,0.0,10.4,100.0
Adilabad,Ichoda,01-Feb-22,0.0,6.8,100.0
Adilabad,Ichoda,02-Feb-22,0.0,8.1,100.0
Adilabad,Ichoda,03-Feb-22,0.0,12.2,100.0
Adilabad,Ichoda,04-Feb-22,0.0,19.8,100.0
Adilabad,Ichoda,05-Feb-22,0.0,8.4,100.0
Adilabad,Ichoda,06-Feb-22,0.0,9.7,100.0
Adilabad,Ichoda,07-Feb-22,0.0,7.8,100.0
Adilabad,Ichoda,08-Feb-22,0.0,18.8,100.0
Adilabad,Ichoda,09-Feb-22,0.0,23.7,100.0
Adilabad,Ichoda,10-Feb-22,0.0,24.5,100.0
Adilabad,Ichoda,11-Feb-22,0.0,21.9,100.0
Adilabad,Ichoda,12-Feb-22,0.0,21.6,100.0
Adilabad,Ichoda,13-Feb-22,0.0,13.6,100.0
Adilabad,Ichoda,14-Feb-22,0.0,9.2,100.0
Adilabad,Ichoda,15-Feb-22,0.0,12.5,100.0
Adilabad,Ichoda,16-Feb-22,0.0,18.1,100.0
Adilabad,Ichoda,17-Feb-22,1.3,18.2,100.0
Adilabad,Ichoda,18-Feb-22,0.0,15.2,100.0
Adilabad,Ichoda,19-Feb-22,0.0,20.9,100.0
Adilabad,Ichoda,20-Feb-22,0.0,9.1,100.0
Adilabad,Ichoda,21-Feb-22,0.0,15.5,100.0
Adilabad,Ichoda,22-Feb-22,0.0,7.2,100.0
Adilabad,Ichoda,23-Feb-22,0.0,6.9,100.0
Adilabad,Ichoda,24-Feb-22,0.0,13.2,100.0
Adilabad,Ichoda,25-Feb-22,0.0,7.0,100.0
Adilabad,Ichoda,26-Feb-22,0.0,5.2,100.0
Adilabad,Ichoda,27-Feb-22,0.0,7.2,100.0
Adilabad,Ichoda,28-Feb-22,0.0,10.4,100.0
