District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Adilabad Rural,01-May-22,0.0,17.2,38.6
Adilabad,Adilabad Rural,02-May-22,0.0,18.6,57.6
Adilabad,Adilabad Rural,03-May-22,0.0,22.2,42.8
Adilabad,Adilabad Rural,04-May-22,1.0,24.1,72.3
Adilabad,Adilabad Rural,05-May-22,0.0,28.7,58.7
Adilabad,Adilabad Rural,06-May-22,0.0,20.5,60.7
Adilabad,Adilabad Rural,07-May-22,0.0,19.1,59.2
Adilabad,Adilabad Rural,08-May-22,0.0,25.9,53.6
Adilabad,Adilabad Rural,09-May-22,0.0,22.4,53.1
Adilabad,Adilabad Rural,10-May-22,0.0,20.3,50.6
Adilabad,Adilabad Rural,11-May-22,0.0,21.2,54.0
Adilabad,Adilabad Rural,12-May-22,0.0,32.9,61.7
Adilabad,Adilabad Rural,13-May-22,26.3,32.1,91.6
Adilabad,Adilabad Rural,14-May-22,0.0,37.1,62.7
Adilabad,Adilabad Rural,15-May-22,0.0,25.7,54.6
Adilabad,Adilabad Rural,16-May-22,0.0,27.1,65.7
Adilabad,Adilabad Rural,17-May-22,0.0,38.2,62.7
Adilabad,Adilabad Rural,18-May-22,0.0,25.4,59.6
Adilabad,Adilabad Rural,19-May-22,0.0,30.8,69.6
Adilabad,Adilabad Rural,20-May-22,0.0,39.7,73.9
Adilabad,Adilabad Rural,21-May-22,0.0,39.7,60.2
Adilabad,Adilabad Rural,22-May-22,0.0,28.0,52.1
Adilabad,Adilabad Rural,23-May-22,0.0,23.6,52.6
Adilabad,Adilabad Rural,24-May-22,0.0,30.8,54.1
Adilabad,Adilabad Rural,25-May-22,0.0,35.0,59.2
Adilabad,Adilabad Rural,26-May-22,11.5,36.5,75.5
Adilabad,Adilabad Rural,27-May-22,1.5,35.0,71.1
Adilabad,Adilabad Rural,28-May-22,0.0,32.1,59.7
Adilabad,Adilabad Rural,29-May-22,0.0,26.6,62.6
Adilabad,Adilabad Rural,30-May-22,0.0,23.7,47.6
Adilabad,Adilabad Rural,31-May-22,0.0,24.9,57.2
