District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Adilabad Rural,03-Nov-22,0,53.1,98.5
Adilabad,Adilabad Rural,04-Nov-22,0,45.9,95.4
Adilabad,Adilabad Rural,22-Nov-22,0,43.2,86.2
Adilabad,Adilabad Rural,30-Nov-22,0,36.7,95.4
Adilabad,Adilabad Urban,09-Nov-22,0,46.7,99.9
Adilabad,Adilabad Urban,14-Nov-22,0,42.4,99.9
Adilabad,Bazarhathnoor,28-Nov-22,0,38.5,83.1
Adilabad,Bela,02-Nov-22,0,44.2,100.0
Adilabad,Bela,20-Nov-22,0,28.9,97.5
Adilabad,Bheempoor,09-Nov-22,0,48.7,99.9
Adilabad,Bheempoor,14-Nov-22,0,44.9,99.9
Adilabad,Bheempoor,24-Nov-22,0,46.8,99.9
Adilabad,Boath,02-Nov-22,0,47.1,96.7
Adilabad,Boath,06-Nov-22,0,32.7,94.4
Adilabad,Boath,20-Nov-22,0,38.8,93.4
Adilabad,Gadiguda,02-Nov-22,0,52.5,99.9
Adilabad,Gadiguda,06-Nov-22,0,40.1,99.9
Adilabad,Gadiguda,20-Nov-22,0,43.4,93.5
Adilabad,Gudihathnur,21-Nov-22,0,46.1,71.5
Adilabad,Gudihathnur,25-Nov-22,0,43.1,87.9
Adilabad,Ichoda,02-Nov-22,0,58.1,90.9
Adilabad,Ichoda,28-Nov-22,0,36.8,82.0
Adilabad,Inderavelly,27-Nov-22,0,36.9,86.3
Adilabad,Jainad,16-Nov-22,0,32.8,100.0
Adilabad,Mavala,22-Nov-22,0,41.7,99.9
Adilabad,Mavala,26-Nov-22,0,36.7,95.3
Adilabad,Mavala,29-Nov-22,0,32.1,94.9
Adilabad,Narnoor,12-Nov-22,0,43.5,91.8
Adilabad,Narnoor,15-Nov-22,0,37.9,93.5
Adilabad,Neradigonda,01-Nov-22,0,38.0,91.6
Adilabad,Neradigonda,11-Nov-22,0,44.2,94.3
Adilabad,Neradigonda,13-Nov-22,0,46.5,91.3
Adilabad,Neradigonda,17-Nov-22,0,31.6,88.5
Adilabad,Sirikonda,07-Nov-22,0,32.6,93.7
Adilabad,Sirikonda,11-Nov-22,0,32.9,90.8
Adilabad,Sirikonda,13-Nov-22,0,33.5,91.2
Adilabad,Tamsi,24-Nov-22,0,54.3,93.6
Adilabad,Utnur,02-Nov-22,0,48.3,98.4
Adilabad,Utnur,06-Nov-22,0,30.4,97.6
Bhadradri Kothagudem,Allapalli,21-Nov-22,0,42.0,79.3
Bhadradri Kothagudem,Annapureddipalle,16-Nov-22,0,51.1,100.0
Bhadradri Kothagudem,Annapureddipalle,28-Nov-22,0,31.9,100.0
Bhadradri Kothagudem,Aswapuram,12-Nov-22,0,43.0,100.0
Bhadradri Kothagudem,Aswapuram,15-Nov-22,0,46.5,100.0
Bhadradri Kothagudem,Aswaraopeta,21-Nov-22,0,53.0,87.2
Bhadradri Kothagudem,Bhadrachalam,12-Nov-22,0,53.8,100.0
Bhadradri Kothagudem,Bhadrachalam,15-Nov-22,0,52.7,100.0
Bhadradri Kothagudem,Burgampadu,20-Nov-22,0,62.3,100.0
Bhadradri Kothagudem,Cherla,20-Nov-22,0,55.0,97.1
Bhadradri Kothagudem,Chunchupally,20-Nov-22,0,45.3,87.4
Bhadradri Kothagudem,Dammapeta,15-Nov-22,0,41.3,100.0
Bhadradri Kothagudem,Dummugudem,02-Nov-22,0,66.0,98.7
Bhadradri Kothagudem,Dummugudem,06-Nov-22,0,48.7,99.2
Bhadradri Kothagudem,Gundala,03-Nov-22,0,64.8,97.4
Bhadradri Kothagudem,Gundala,04-Nov-22,0,59.0,99.8
Bhadradri Kothagudem,Gundala,26-Nov-22,0,45.3,99.0
Bhadradri Kothagudem,Gundala,30-Nov-22,0,36.4,97.1
Bhadradri Kothagudem,Karakagudem,09-Nov-22,0,44.7,100.0
Bhadradri Kothagudem,Karakagudem,14-Nov-22,0,40.3,100.0
Bhadradri Kothagudem,Karakagudem,24-Nov-22,0,45.7,99.9
Bhadradri Kothagudem,Kothagudem,28-Nov-22,0,38.7,98.7
Bhadradri Kothagudem,Laxmidevipalli,07-Nov-22,0,50.4,93.6
Bhadradri Kothagudem,Laxmidevipalli,08-Nov-22,0,51.9,92.8
Bhadradri Kothagudem,Manuguru,19-Nov-22,0,35.6,97.9
Bhadradri Kothagudem,Manuguru,27-Nov-22,0,39.5,97.9
Bhadradri Kothagudem,Mulakalapalle,01-Nov-22,0,46.5,100.0
Bhadradri Kothagudem,Mulakalapalle,08-Nov-22,0,42.6,100.0
Bhadradri Kothagudem,Mulakalapalle,11-Nov-22,0,49.5,100.0
Bhadradri Kothagudem,Mulakalapalle,17-Nov-22,0,42.8,100.0
Bhadradri Kothagudem,Palawancha,02-Nov-22,0,64.9,100.0
Bhadradri Kothagudem,Palawancha,06-Nov-22,0,47.8,99.1
Bhadradri Kothagudem,Pinapaka,16-Nov-22,0,43.0,100.0
Bhadradri Kothagudem,Sujathanagar,01-Nov-22,0,42.6,92.2
Bhadradri Kothagudem,Sujathanagar,07-Nov-22,0,39.0,100.0
Bhadradri Kothagudem,Sujathanagar,08-Nov-22,0,38.4,100.0
Bhadradri Kothagudem,Sujathanagar,13-Nov-22,0,43.2,96.1
Bhadradri Kothagudem,Sujathanagar,17-Nov-22,0,28.6,100.0
