District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Adilabad Rural,01-Oct-22,0.0,65.7,99.9
Adilabad,Adilabad Rural,02-Oct-22,0.0,60.1,99.0
Adilabad,Adilabad Rural,03-Oct-22,0.0,57.1,97.9
Adilabad,Adilabad Rural,04-Oct-22,0.0,60.1,98.5
Adilabad,Adilabad Rural,05-Oct-22,0.0,71.0,98.8
Adilabad,Adilabad Rural,06-Oct-22,14.5,68.2,100.0
Adilabad,Adilabad Rural,07-Oct-22,9.0,67.3,100.0
Adilabad,Adilabad Rural,08-Oct-22,1.8,73.4,94.6
Adilabad,Adilabad Rural,09-Oct-22,0.0,62.2,97.2
Adilabad,Adilabad Rural,10-Oct-22,0.0,65.2,99.3
Adilabad,Adilabad Rural,11-Oct-22,0.0,67.8,96.7
Adilabad,Adilabad Rural,12-Oct-22,0.0,65.2,97.2
Adilabad,Adilabad Rural,13-Oct-22,0.0,67.8,100.0
Adilabad,Adilabad Rural,14-Oct-22,10.0,70.2,100.0
Adilabad,Adilabad Rural,15-Oct-22,0.8,72.6,100.0
Adilabad,Adilabad Rural,16-Oct-22,0.0,76.1,99.9
Adilabad,Adilabad Rural,17-Oct-22,1.5,77.7,100.0
Adilabad,Adilabad Rural,18-Oct-22,4.8,70.2,100.0
Adilabad,Adilabad Rural,19-Oct-22,0.0,66.3,100.0
Adilabad,Adilabad Rural,20-Oct-22,0.0,71.6,100.0
Adilabad,Adilabad Rural,21-Oct-22,38.5,80.5,100.0
Adilabad,Adilabad Rural,22-Oct-22,0.0,60.2,99.8
Adilabad,Adilabad Rural,23-Oct-22,0.0,47.0,98.5
Adilabad,Adilabad Rural,24-Oct-22,0.0,37.8,98.0
Adilabad,Adilabad Rural,25-Oct-22,0.0,41.9,96.4
Adilabad,Adilabad Rural,26-Oct-22,0.0,41.0,94.9
Adilabad,Adilabad Rural,27-Oct-22,0.0,40.1,97.5
Adilabad,Adilabad Rural,28-Oct-22,0.0,44.1,96.4
Adilabad,Adilabad Rural,29-Oct-22,0.0,43.0,98.0
Adilabad,Adilabad Rural,30-Oct-22,0.0,43.0,95.9
Adilabad,Adilabad Rural,31-Oct-22,0.0,43.0,95.7
Adilabad,Adilabad Urban,01-Oct-22,0.0,63.4,99.9
Adilabad,Adilabad Urban,02-Oct-22,0.0,58.9,99.9
Adilabad,Adilabad Urban,03-Oct-22,0.0,56.1,99.9
Adilabad,Adilabad Urban,04-Oct-22,0.0,58.4,99.9
Adilabad,Adilabad Urban,05-Oct-22,0.0,70.9,99.9
Adilabad,Adilabad Urban,06-Oct-22,29.0,67.8,99.9
Adilabad,Adilabad Urban,07-Oct-22,24.3,74.6,99.9
Adilabad,Adilabad Urban,08-Oct-22,2.4,77.5,99.9
Adilabad,Adilabad Urban,09-Oct-22,0.0,66.5,99.9
Adilabad,Adilabad Urban,10-Oct-22,4.4,71.4,99.9
Adilabad,Adilabad Urban,11-Oct-22,0.0,71.6,99.9
Adilabad,Adilabad Urban,12-Oct-22,0.2,77.2,99.9
Adilabad,Adilabad Urban,13-Oct-22,20.1,84.3,99.9
Adilabad,Adilabad Urban,14-Oct-22,0.2,72.4,99.9
Adilabad,Adilabad Urban,15-Oct-22,17.3,77.5,99.9
Adilabad,Adilabad Urban,16-Oct-22,0.0,76.9,99.9
Adilabad,Adilabad Urban,17-Oct-22,0.2,73.1,99.9
Adilabad,Adilabad Urban,18-Oct-22,1.3,66.6,99.9
Adilabad,Adilabad Urban,19-Oct-22,0.0,76.9,99.9
Adilabad,Adilabad Urban,20-Oct-22,0.0,71.0,99.9
Adilabad,Adilabad Urban,21-Oct-22,0.0,72.9,99.9
Adilabad,Adilabad Urban,22-Oct-22,0.0,55.0,99.9
Adilabad,Adilabad Urban,23-Oct-22,0.0,46.8,99.9
Adilabad,Adilabad Urban,24-Oct-22,0.0,39.4,99.9
Adilabad,Adilabad Urban,25-Oct-22,0.0,42.4,99.9
Adilabad,Adilabad Urban,26-Oct-22,0.0,43.1,99.9
Adilabad,Adilabad Urban,27-Oct-22,0.0,40.2,99.9
Adilabad,Adilabad Urban,28-Oct-22,0.0,42.0,99.9
Adilabad,Adilabad Urban,29-Oct-22,0.0,42.2,99.9
Adilabad,Adilabad Urban,30-Oct-22,0.0,42.6,99.9
Adilabad,Adilabad Urban,31-Oct-22,0.0,41.4,99.9
Adilabad,Bazarhathnoor,01-Oct-22,0.0,67.5,98.7
Adilabad,Bazarhathnoor,02-Oct-22,0.0,64.9,96.9
Adilabad,Bazarhathnoor,03-Oct-22,0.0,70.9,90.1
Adilabad,Bazarhathnoor,04-Oct-22,0.0,58.3,90.1
Adilabad,Bazarhathnoor,05-Oct-22,0.0,71.8,96.3
Adilabad,Bazarhathnoor,06-Oct-22,32.0,71.5,99.9
Adilabad,Bazarhathnoor,07-Oct-22,26.6,80.1,99.9
Adilabad,Bazarhathnoor,08-Oct-22,0.0,79.2,99.9
Adilabad,Bazarhathnoor,09-Oct-22,0.0,75.3,99.9
Adilabad,Bazarhathnoor,10-Oct-22,1.9,63.7,99.9
Adilabad,Bazarhathnoor,11-Oct-22,0.0,83.5,99.2
Adilabad,Bazarhathnoor,12-Oct-22,2.8,79.8,99.9
Adilabad,Bazarhathnoor,13-Oct-22,3.5,84.3,99.9
Adilabad,Bazarhathnoor,14-Oct-22,7.6,70.9,99.9
Adilabad,Bazarhathnoor,15-Oct-22,8.1,77.0,99.9
Adilabad,Bazarhathnoor,16-Oct-22,0.0,83.4,97.0
Adilabad,Bazarhathnoor,17-Oct-22,0.0,78.0,99.9
Adilabad,Bazarhathnoor,18-Oct-22,0.0,76.9,99.5
Adilabad,Bazarhathnoor,19-Oct-22,2.3,84.4,99.9
Adilabad,Bazarhathnoor,20-Oct-22,0.0,73.9,98.8
Adilabad,Bazarhathnoor,21-Oct-22,7.3,74.5,99.6
Adilabad,Bazarhathnoor,22-Oct-22,0.0,68.9,96.2
Adilabad,Bazarhathnoor,23-Oct-22,0.0,51.2,95.7
Adilabad,Bazarhathnoor,24-Oct-22,0.0,47.8,96.7
Adilabad,Bazarhathnoor,25-Oct-22,0.0,46.5,97.6
Adilabad,Bazarhathnoor,26-Oct-22,0.0,46.5,94.9
Adilabad,Bazarhathnoor,27-Oct-22,0.0,47.6,95.7
Adilabad,Bazarhathnoor,28-Oct-22,0.0,54.4,95.0
Adilabad,Bazarhathnoor,29-Oct-22,0.0,41.0,94.8
Adilabad,Bazarhathnoor,30-Oct-22,0.0,49.0,94.8
Adilabad,Bazarhathnoor,31-Oct-22,0.0,46.0,94.1
Adilabad,Bela,01-Oct-22,0.0,63.6,99.9
Adilabad,Bela,02-Oct-22,0.0,55.5,99.9
Adilabad,Bela,03-Oct-22,0.0,55.5,97.2
Adilabad,Bela,04-Oct-22,0.0,56.1,99.9
Adilabad,Bela,05-Oct-22,0.0,71.5,99.9
Adilabad,Bela,06-Oct-22,7.2,71.4,99.9
Adilabad,Bela,07-Oct-22,18.4,74.6,99.9
Adilabad,Bela,08-Oct-22,0.0,90.8,99.9
Adilabad,Bela,09-Oct-22,0.0,63.5,99.9
Adilabad,Bela,10-Oct-22,9.5,70.9,99.9
Adilabad,Bela,11-Oct-22,15.3,84.3,99.9
Adilabad,Bela,12-Oct-22,0.0,77.1,99.9
Adilabad,Bela,13-Oct-22,12.5,81.9,99.9
Adilabad,Bela,14-Oct-22,1.3,77.2,99.9
Adilabad,Bela,15-Oct-22,10.2,77.5,99.9
Adilabad,Bela,16-Oct-22,0.0,73.5,99.9
Adilabad,Bela,17-Oct-22,0.0,75.6,99.9
Adilabad,Bela,18-Oct-22,0.0,70.9,99.9
Adilabad,Bela,19-Oct-22,2.7,77.5,99.9
Adilabad,Bela,20-Oct-22,2.2,77.3,99.9
Adilabad,Bela,21-Oct-22,0.2,74.1,99.9
Adilabad,Bela,22-Oct-22,0.0,50.9,99.9
Adilabad,Bela,23-Oct-22,0.0,43.2,99.9
Adilabad,Bela,24-Oct-22,0.0,33.8,95.5
Adilabad,Bela,25-Oct-22,0.0,39.4,99.9
Adilabad,Bela,26-Oct-22,0.0,41.1,98.5
Adilabad,Bela,27-Oct-22,0.0,39.5,100.0
Adilabad,Bela,28-Oct-22,0.0,34.0,100.0
Adilabad,Bela,29-Oct-22,0.0,29.2,100.0
Adilabad,Bela,30-Oct-22,0.0,27.2,100.0
Adilabad,Bela,31-Oct-22,0.0,33.1,100.0
Adilabad,Bheempoor,01-Oct-22,0.0,65.8,99.9
Adilabad,Bheempoor,02-Oct-22,0.0,57.0,99.9
Adilabad,Bheempoor,03-Oct-22,0.0,57.7,99.9
Adilabad,Bheempoor,04-Oct-22,0.0,55.8,97.8
Adilabad,Bheempoor,05-Oct-22,0.0,63.5,99.9
Adilabad,Bheempoor,06-Oct-22,26.3,67.5,99.9
Adilabad,Bheempoor,07-Oct-22,33.0,71.4,99.9
Adilabad,Bheempoor,08-Oct-22,1.0,84.5,99.9
Adilabad,Bheempoor,09-Oct-22,0.0,77.7,99.9
Adilabad,Bheempoor,10-Oct-22,0.5,78.0,99.9
Adilabad,Bheempoor,11-Oct-22,2.5,78.6,99.9
Adilabad,Bheempoor,12-Oct-22,6.8,73.7,99.9
Adilabad,Bheempoor,13-Oct-22,9.8,91.4,99.9
Adilabad,Bheempoor,14-Oct-22,0.0,74.7,99.9
Adilabad,Bheempoor,15-Oct-22,14.0,77.6,99.9
Adilabad,Bheempoor,16-Oct-22,0.0,70.9,99.9
Adilabad,Bheempoor,17-Oct-22,0.0,74.1,99.9
Adilabad,Bheempoor,18-Oct-22,0.0,71.4,99.9
Adilabad,Bheempoor,19-Oct-22,19.5,80.4,99.9
Adilabad,Bheempoor,20-Oct-22,0.0,71.4,99.9
Adilabad,Bheempoor,21-Oct-22,0.0,77.6,99.9
Adilabad,Bheempoor,22-Oct-22,0.0,63.8,99.9
Adilabad,Bheempoor,23-Oct-22,0.0,53.6,99.9
Adilabad,Bheempoor,24-Oct-22,0.0,45.9,99.9
Adilabad,Bheempoor,25-Oct-22,0.0,46.5,99.9
Adilabad,Bheempoor,26-Oct-22,0.0,46.9,99.9
Adilabad,Bheempoor,27-Oct-22,0.0,47.5,99.9
Adilabad,Bheempoor,28-Oct-22,0.0,48.8,99.9
Adilabad,Bheempoor,29-Oct-22,0.0,46.9,99.9
Adilabad,Bheempoor,30-Oct-22,0.0,46.8,99.9
Adilabad,Bheempoor,31-Oct-22,0.0,48.7,99.9
Adilabad,Boath,01-Oct-22,0.0,63.8,98.3
Adilabad,Boath,02-Oct-22,0.0,63.1,96.9
Adilabad,Boath,03-Oct-22,0.0,63.1,92.0
Adilabad,Boath,04-Oct-22,0.0,58.3,91.1
Adilabad,Boath,05-Oct-22,0.0,63.1,96.9
Adilabad,Boath,06-Oct-22,24.8,70.9,99.9
Adilabad,Boath,07-Oct-22,32.3,72.6,99.9
Adilabad,Boath,08-Oct-22,0.0,77.6,99.9
Adilabad,Boath,09-Oct-22,0.0,70.9,99.9
Adilabad,Boath,10-Oct-22,0.4,63.7,98.4
Adilabad,Boath,11-Oct-22,1.1,70.9,97.4
Adilabad,Boath,12-Oct-22,4.9,70.6,98.4
Adilabad,Boath,13-Oct-22,25.0,77.2,99.9
Adilabad,Boath,14-Oct-22,0.0,66.7,99.9
Adilabad,Boath,15-Oct-22,25.3,76.9,98.2
Adilabad,Boath,16-Oct-22,0.0,78.8,98.3
Adilabad,Boath,17-Oct-22,0.0,72.2,98.1
Adilabad,Boath,18-Oct-22,0.0,63.5,98.4
Adilabad,Boath,19-Oct-22,0.3,77.1,98.1
Adilabad,Boath,20-Oct-22,0.3,66.9,98.1
Adilabad,Boath,21-Oct-22,0.0,70.9,97.9
Adilabad,Boath,22-Oct-22,0.0,62.6,96.2
Adilabad,Boath,23-Oct-22,0.0,46.5,95.8
Adilabad,Boath,24-Oct-22,0.0,39.1,94.9
Adilabad,Boath,25-Oct-22,0.0,40.8,97.6
Adilabad,Boath,26-Oct-22,0.0,34.6,94.9
Adilabad,Boath,27-Oct-22,0.0,39.4,95.2
Adilabad,Boath,28-Oct-22,0.0,41.2,95.0
Adilabad,Boath,29-Oct-22,0.0,41.9,95.0
Adilabad,Boath,30-Oct-22,0.0,34.0,95.1
Adilabad,Boath,31-Oct-22,0.0,39.1,95.0
Adilabad,Gadiguda,01-Oct-22,0.0,70.9,99.9
Adilabad,Gadiguda,02-Oct-22,0.0,65.4,99.9
Adilabad,Gadiguda,03-Oct-22,0.0,63.5,97.7
Adilabad,Gadiguda,04-Oct-22,0.0,64.7,96.4
Adilabad,Gadiguda,05-Oct-22,0.0,76.9,99.6
Adilabad,Gadiguda,06-Oct-22,32.0,77.5,99.9
Adilabad,Gadiguda,07-Oct-22,38.0,74.6,99.9
Adilabad,Gadiguda,08-Oct-22,0.0,84.1,99.9
Adilabad,Gadiguda,09-Oct-22,0.0,64.7,99.9
Adilabad,Gadiguda,10-Oct-22,0.0,70.3,99.9
Adilabad,Gadiguda,11-Oct-22,42.3,82.5,100.0
Adilabad,Gadiguda,12-Oct-22,0.0,73.5,99.9
Adilabad,Gadiguda,13-Oct-22,3.3,77.1,99.9
Adilabad,Gadiguda,14-Oct-22,0.0,77.2,99.9
Adilabad,Gadiguda,15-Oct-22,9.8,77.5,99.9
Adilabad,Gadiguda,16-Oct-22,0.0,77.7,99.9
Adilabad,Gadiguda,17-Oct-22,0.0,70.9,99.9
Adilabad,Gadiguda,18-Oct-22,0.0,73.0,99.9
Adilabad,Gadiguda,19-Oct-22,13.5,84.3,99.9
Adilabad,Gadiguda,20-Oct-22,0.0,74.3,99.9
Adilabad,Gadiguda,21-Oct-22,0.0,68.8,99.9
Adilabad,Gadiguda,22-Oct-22,0.0,51.7,99.9
Adilabad,Gadiguda,23-Oct-22,0.0,47.1,97.8
Adilabad,Gadiguda,24-Oct-22,0.0,40.3,99.9
Adilabad,Gadiguda,25-Oct-22,0.0,46.5,99.9
Adilabad,Gadiguda,26-Oct-22,0.0,35.0,99.9
Adilabad,Gadiguda,27-Oct-22,0.0,36.0,99.9
Adilabad,Gadiguda,28-Oct-22,0.0,35.8,99.9
Adilabad,Gadiguda,29-Oct-22,0.0,42.9,99.9
Adilabad,Gadiguda,30-Oct-22,0.0,42.3,99.9
Adilabad,Gadiguda,31-Oct-22,0.0,34.1,97.2
Adilabad,Gudihathnur,01-Oct-22,0.0,72.4,98.0
Adilabad,Gudihathnur,02-Oct-22,0.0,57.7,96.7
