District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Adilabad Rural,01-Sep-22,0.0,67.3,93.4
Adilabad,Adilabad Rural,02-Sep-22,2.8,60.1,99.9
Adilabad,Adilabad Rural,03-Sep-22,0.0,54.4,97.2
Adilabad,Adilabad Rural,04-Sep-22,73.3,51.5,99.9
Adilabad,Adilabad Rural,05-Sep-22,0.0,86.6,99.9
Adilabad,Adilabad Rural,06-Sep-22,0.0,71.0,100.0
Adilabad,Adilabad Rural,07-Sep-22,0.0,57.5,99.9
Adilabad,Adilabad Rural,08-Sep-22,0.8,85.4,99.9
Adilabad,Adilabad Rural,09-Sep-22,37.8,78.8,100.0
Adilabad,Adilabad Rural,10-Sep-22,0.0,74.0,100.0
Adilabad,Adilabad Rural,11-Sep-22,11.5,71.6,100.0
Adilabad,Adilabad Rural,12-Sep-22,64.3,95.6,100.0
Adilabad,Adilabad Rural,13-Sep-22,4.3,89.6,100.0
Adilabad,Adilabad Rural,14-Sep-22,0.0,70.6,92.5
Adilabad,Adilabad Rural,15-Sep-22,0.0,67.8,90.7
Adilabad,Adilabad Rural,16-Sep-22,0.0,68.2,88.8
Adilabad,Adilabad Rural,17-Sep-22,0.0,68.2,94.0
Adilabad,Adilabad Rural,18-Sep-22,2.0,71.1,96.9
Adilabad,Adilabad Rural,19-Sep-22,4.3,64.7,99.3
Adilabad,Adilabad Rural,20-Sep-22,0.8,70.6,97.8
Adilabad,Adilabad Rural,21-Sep-22,0.0,72.1,97.8
Adilabad,Adilabad Rural,22-Sep-22,3.5,80.5,99.3
Adilabad,Adilabad Rural,23-Sep-22,0.0,76.7,98.3
Adilabad,Adilabad Rural,24-Sep-22,0.0,62.2,99.9
Adilabad,Adilabad Rural,25-Sep-22,0.0,60.7,99.9
Adilabad,Adilabad Rural,26-Sep-22,0.0,62.2,100.0
Adilabad,Adilabad Rural,27-Sep-22,2.3,65.2,98.8
Adilabad,Adilabad Rural,28-Sep-22,4.0,70.6,100.0
Adilabad,Adilabad Rural,29-Sep-22,1.0,71.0,100.0
Adilabad,Adilabad Rural,30-Sep-22,0.0,75.8,100.0
Adilabad,Adilabad Urban,01-Sep-22,3.2,70.5,99.9
Adilabad,Adilabad Urban,02-Sep-22,7.1,71.5,99.9
Adilabad,Adilabad Urban,03-Sep-22,0.0,58.6,99.9
Adilabad,Adilabad Urban,04-Sep-22,35.4,57.0,99.9
Adilabad,Adilabad Urban,05-Sep-22,0.2,89.0,99.9
Adilabad,Adilabad Urban,06-Sep-22,0.0,70.9,99.9
Adilabad,Adilabad Urban,07-Sep-22,0.0,63.6,99.9
Adilabad,Adilabad Urban,08-Sep-22,0.0,80.0,99.9
Adilabad,Adilabad Urban,09-Sep-22,9.9,72.3,99.9
Adilabad,Adilabad Urban,10-Sep-22,0.0,77.5,99.9
Adilabad,Adilabad Urban,11-Sep-22,14.1,71.8,99.9
Adilabad,Adilabad Urban,12-Sep-22,72.0,94.0,99.9
Adilabad,Adilabad Urban,13-Sep-22,3.7,89.9,99.9
Adilabad,Adilabad Urban,14-Sep-22,1.4,77.5,99.9
Adilabad,Adilabad Urban,15-Sep-22,0.0,72.3,99.9
Adilabad,Adilabad Urban,16-Sep-22,0.0,71.3,99.9
Adilabad,Adilabad Urban,17-Sep-22,0.8,74.7,99.9
Adilabad,Adilabad Urban,18-Sep-22,0.2,70.9,99.9
Adilabad,Adilabad Urban,19-Sep-22,1.3,71.9,99.9
Adilabad,Adilabad Urban,20-Sep-22,1.1,73.9,99.9
Adilabad,Adilabad Urban,21-Sep-22,0.4,74.0,99.9
Adilabad,Adilabad Urban,22-Sep-22,2.6,84.3,99.9
Adilabad,Adilabad Urban,23-Sep-22,0.0,77.1,99.9
Adilabad,Adilabad Urban,24-Sep-22,0.0,70.9,99.9
Adilabad,Adilabad Urban,25-Sep-22,0.0,63.1,99.9
Adilabad,Adilabad Urban,26-Sep-22,0.0,64.0,99.9
Adilabad,Adilabad Urban,27-Sep-22,9.3,73.7,99.9
Adilabad,Adilabad Urban,28-Sep-22,0.3,71.0,99.9
Adilabad,Adilabad Urban,29-Sep-22,1.1,73.5,99.9
Adilabad,Adilabad Urban,30-Sep-22,7.4,77.3,99.9
Adilabad,Bazarhathnoor,01-Sep-22,0.8,73.0,99.5
Adilabad,Bazarhathnoor,02-Sep-22,17.1,68.1,99.9
Adilabad,Bazarhathnoor,03-Sep-22,0.0,63.5,99.9
Adilabad,Bazarhathnoor,04-Sep-22,7.9,66.9,97.8
Adilabad,Bazarhathnoor,05-Sep-22,0.0,87.5,99.9
Adilabad,Bazarhathnoor,06-Sep-22,0.0,77.1,99.9
Adilabad,Bazarhathnoor,07-Sep-22,0.0,71.1,99.6
Adilabad,Bazarhathnoor,08-Sep-22,0.9,84.3,99.9
Adilabad,Bazarhathnoor,09-Sep-22,7.9,84.6,99.9
Adilabad,Bazarhathnoor,10-Sep-22,0.0,77.5,97.6
Adilabad,Bazarhathnoor,11-Sep-22,55.5,75.5,99.9
Adilabad,Bazarhathnoor,12-Sep-22,108.1,96.3,99.9
Adilabad,Bazarhathnoor,13-Sep-22,5.7,91.3,99.9
Adilabad,Bazarhathnoor,14-Sep-22,2.6,83.1,97.6
Adilabad,Bazarhathnoor,15-Sep-22,0.0,80.4,96.9
Adilabad,Bazarhathnoor,16-Sep-22,0.0,80.2,97.5
Adilabad,Bazarhathnoor,17-Sep-22,4.0,84.0,98.2
Adilabad,Bazarhathnoor,18-Sep-22,14.3,83.6,98.5
Adilabad,Bazarhathnoor,19-Sep-22,0.3,77.2,97.3
Adilabad,Bazarhathnoor,20-Sep-22,12.8,76.9,98.0
Adilabad,Bazarhathnoor,21-Sep-22,0.0,83.7,97.9
Adilabad,Bazarhathnoor,22-Sep-22,0.3,84.3,97.5
Adilabad,Bazarhathnoor,23-Sep-22,0.0,83.7,99.9
Adilabad,Bazarhathnoor,24-Sep-22,0.0,71.0,99.9
Adilabad,Bazarhathnoor,25-Sep-22,0.0,63.4,99.9
Adilabad,Bazarhathnoor,26-Sep-22,0.0,76.9,99.9
Adilabad,Bazarhathnoor,27-Sep-22,3.5,73.4,98.8
Adilabad,Bazarhathnoor,28-Sep-22,0.3,74.0,99.6
Adilabad,Bazarhathnoor,29-Sep-22,21.6,81.4,99.9
Adilabad,Bazarhathnoor,30-Sep-22,3.4,84.3,99.5
Adilabad,Bela,01-Sep-22,1.6,70.5,99.9
Adilabad,Bela,02-Sep-22,2.7,71.9,99.9
Adilabad,Bela,03-Sep-22,0.4,65.3,99.9
Adilabad,Bela,04-Sep-22,60.1,59.5,99.9
Adilabad,Bela,05-Sep-22,0.0,96.0,99.9
Adilabad,Bela,06-Sep-22,0.0,77.5,99.9
Adilabad,Bela,07-Sep-22,4.3,63.6,99.9
Adilabad,Bela,08-Sep-22,6.9,95.6,99.9
Adilabad,Bela,09-Sep-22,2.1,84.9,99.9
Adilabad,Bela,10-Sep-22,0.3,73.3,99.9
Adilabad,Bela,11-Sep-22,9.2,67.2,99.9
Adilabad,Bela,12-Sep-22,96.9,99.2,99.9
Adilabad,Bela,13-Sep-22,3.5,97.8,99.9
Adilabad,Bela,14-Sep-22,0.2,77.5,99.9
Adilabad,Bela,15-Sep-22,0.0,77.2,99.9
Adilabad,Bela,16-Sep-22,0.0,77.1,99.9
Adilabad,Bela,17-Sep-22,1.7,76.6,99.9
Adilabad,Bela,18-Sep-22,0.0,71.0,99.9
Adilabad,Bela,19-Sep-22,1.4,74.3,99.9
Adilabad,Bela,20-Sep-22,9.1,77.6,99.9
Adilabad,Bela,21-Sep-22,1.5,79.7,99.9
Adilabad,Bela,22-Sep-22,11.5,84.9,99.9
Adilabad,Bela,23-Sep-22,0.0,79.9,99.9
Adilabad,Bela,24-Sep-22,0.0,70.9,99.9
Adilabad,Bela,25-Sep-22,0.0,64.9,99.9
Adilabad,Bela,26-Sep-22,0.0,65.1,99.9
Adilabad,Bela,27-Sep-22,1.5,71.0,99.9
Adilabad,Bela,28-Sep-22,2.0,64.9,99.9
Adilabad,Bela,29-Sep-22,4.4,71.4,99.9
Adilabad,Bela,30-Sep-22,0.0,77.5,99.9
Adilabad,Bheempoor,01-Sep-22,0.0,64.7,99.9
Adilabad,Bheempoor,02-Sep-22,0.0,72.8,99.9
Adilabad,Bheempoor,03-Sep-22,0.0,64.0,99.9
Adilabad,Bheempoor,04-Sep-22,49.0,64.0,99.9
Adilabad,Bheempoor,05-Sep-22,0.5,90.4,99.9
Adilabad,Bheempoor,06-Sep-22,1.3,71.4,99.9
Adilabad,Bheempoor,07-Sep-22,0.0,65.4,99.9
Adilabad,Bheempoor,08-Sep-22,1.0,78.9,99.9
Adilabad,Bheempoor,09-Sep-22,0.8,79.7,99.9
Adilabad,Bheempoor,10-Sep-22,0.0,77.7,99.9
Adilabad,Bheempoor,11-Sep-22,79.3,77.7,99.9
Adilabad,Bheempoor,12-Sep-22,78.3,90.6,99.9
Adilabad,Bheempoor,13-Sep-22,6.5,92.1,99.9
Adilabad,Bheempoor,14-Sep-22,4.8,77.5,99.9
Adilabad,Bheempoor,15-Sep-22,0.0,78.0,98.3
Adilabad,Bheempoor,16-Sep-22,0.0,77.3,95.2
Adilabad,Bheempoor,17-Sep-22,0.8,77.3,99.9
Adilabad,Bheempoor,18-Sep-22,0.0,71.4,99.9
Adilabad,Bheempoor,19-Sep-22,0.0,65.7,99.9
Adilabad,Bheempoor,20-Sep-22,0.0,71.4,99.9
Adilabad,Bheempoor,21-Sep-22,0.0,71.6,98.4
Adilabad,Bheempoor,22-Sep-22,0.0,77.5,99.9
Adilabad,Bheempoor,23-Sep-22,0.0,78.3,99.9
Adilabad,Bheempoor,24-Sep-22,10.8,71.0,99.9
Adilabad,Bheempoor,25-Sep-22,0.0,63.5,99.9
Adilabad,Bheempoor,26-Sep-22,0.0,65.8,99.9
Adilabad,Bheempoor,27-Sep-22,2.5,77.5,99.9
Adilabad,Bheempoor,28-Sep-22,10.3,73.0,99.9
Adilabad,Bheempoor,29-Sep-22,0.8,71.4,99.9
Adilabad,Bheempoor,30-Sep-22,0.0,71.5,99.9
Adilabad,Boath,01-Sep-22,0.3,70.9,99.1
Adilabad,Boath,02-Sep-22,8.3,63.5,98.8
Adilabad,Boath,03-Sep-22,0.0,63.5,99.9
Adilabad,Boath,04-Sep-22,17.1,50.1,97.7
Adilabad,Boath,05-Sep-22,0.0,84.3,99.9
Adilabad,Boath,06-Sep-22,0.0,70.9,99.2
Adilabad,Boath,07-Sep-22,0.0,66.3,98.3
Adilabad,Boath,08-Sep-22,0.5,79.2,98.2
Adilabad,Boath,09-Sep-22,25.4,78.3,99.9
Adilabad,Boath,10-Sep-22,20.7,77.5,98.3
Adilabad,Boath,11-Sep-22,71.4,73.7,99.2
Adilabad,Boath,12-Sep-22,115.1,96.3,100.0
Adilabad,Boath,13-Sep-22,2.3,90.8,99.9
Adilabad,Boath,14-Sep-22,7.1,78.4,97.7
Adilabad,Boath,15-Sep-22,0.0,77.0,96.5
Adilabad,Boath,16-Sep-22,0.0,76.9,100.0
Adilabad,Boath,17-Sep-22,8.8,76.9,98.2
Adilabad,Boath,18-Sep-22,3.7,78.2,100.0
Adilabad,Boath,19-Sep-22,2.7,70.9,96.9
Adilabad,Boath,20-Sep-22,4.1,72.8,98.3
Adilabad,Boath,21-Sep-22,1.5,77.4,100.0
Adilabad,Boath,22-Sep-22,0.7,79.1,97.5
Adilabad,Boath,23-Sep-22,0.0,77.0,97.6
Adilabad,Boath,24-Sep-22,0.0,65.1,97.3
Adilabad,Boath,25-Sep-22,0.0,63.1,98.1
Adilabad,Boath,26-Sep-22,0.0,65.3,98.5
Adilabad,Boath,27-Sep-22,13.0,70.9,99.9
Adilabad,Boath,28-Sep-22,0.7,70.9,99.0
Adilabad,Boath,29-Sep-22,9.5,77.5,99.9
Adilabad,Boath,30-Sep-22,0.2,73.1,98.7
Adilabad,Gadiguda,01-Sep-22,2.8,77.5,99.9
Adilabad,Gadiguda,02-Sep-22,0.0,74.1,99.9
Adilabad,Gadiguda,03-Sep-22,0.0,65.3,99.9
Adilabad,Gadiguda,04-Sep-22,49.3,59.5,99.9
Adilabad,Gadiguda,05-Sep-22,0.0,92.2,99.9
Adilabad,Gadiguda,06-Sep-22,0.0,77.1,99.9
Adilabad,Gadiguda,07-Sep-22,0.0,72.0,99.9
Adilabad,Gadiguda,08-Sep-22,3.8,78.1,99.9
Adilabad,Gadiguda,09-Sep-22,5.0,84.3,99.9
Adilabad,Gadiguda,10-Sep-22,0.0,77.5,99.9
Adilabad,Gadiguda,11-Sep-22,9.5,71.4,99.9
Adilabad,Gadiguda,12-Sep-22,68.5,99.2,99.9
Adilabad,Gadiguda,13-Sep-22,13.5,97.0,99.9
Adilabad,Gadiguda,14-Sep-22,0.0,85.6,99.9
Adilabad,Gadiguda,15-Sep-22,0.0,80.3,99.9
Adilabad,Gadiguda,16-Sep-22,0.0,78.5,99.9
Adilabad,Gadiguda,17-Sep-22,14.0,77.2,99.9
Adilabad,Gadiguda,18-Sep-22,1.8,84.3,99.9
Adilabad,Gadiguda,19-Sep-22,0.5,70.9,99.9
Adilabad,Gadiguda,20-Sep-22,0.0,84.4,99.9
Adilabad,Gadiguda,21-Sep-22,0.0,76.7,99.9
Adilabad,Gadiguda,22-Sep-22,4.5,85.7,99.9
Adilabad,Gadiguda,23-Sep-22,0.0,84.1,99.9
Adilabad,Gadiguda,24-Sep-22,0.0,77.3,99.9
Adilabad,Gadiguda,25-Sep-22,0.0,64.9,99.9
Adilabad,Gadiguda,26-Sep-22,0.0,66.4,99.9
Adilabad,Gadiguda,27-Sep-22,31.3,77.2,99.9
Adilabad,Gadiguda,28-Sep-22,1.0,64.9,99.9
Adilabad,Gadiguda,29-Sep-22,11.8,79.4,99.9
Adilabad,Gadiguda,30-Sep-22,0.0,84.3,99.9
Adilabad,Gudihathnur,01-Sep-22,0.0,50.7,97.1
Adilabad,Gudihathnur,02-Sep-22,0.0,73.9,98.3
Adilabad,Gudihathnur,03-Sep-22,0.0,71.4,96.9
Adilabad,Gudihathnur,04-Sep-22,14.3,64.0,99.0
